criticality,defect_severity,asset_criticality,failure_consequence,deferral_history,mandatory,duration_minutes,restoration_minutes,power_isolation,snt_disconnection,department_risk,window_hours,traffic_block,failure_after_deferral,safety_escalation,emergency_intervention,disruption_minutes,maintenance_effectiveness,outcome_risk_score
5,2,1,4,8,0,150,10,0,1,0.82,8.0,1,1,1,0,54.876535707473586,0.6437813483492264,0.64151966275387
3,1,3,2,3,1,150,30,0,0,0.86,96.0,1,0,0,0,85.2302468476436,0.9003188093026101,0.06379784791391303
4,2,4,2,7,1,45,60,0,1,0.86,12.0,1,1,0,0,8.065247842092663,0.7511291743313157,0.36279778969153637
3,1,4,3,0,1,60,0,1,0,0.82,72.0,1,0,0,0,15.534109161898968,0.7872285767950742,0.02525007239894412
2,3,3,2,1,1,150,45,1,0,0.72,12.0,1,0,0,1,95.16733262438363,0.7971860595133303,0.26764186425032266
2,5,2,4,5,1,30,60,1,1,0.86,24.0,1,1,0,0,40.26437200855503,0.5431791870529633,0.3988203715786626
2,2,4,5,4,1,75,60,0,0,0.82,1.5,1,1,0,1,30.955850260564056,0.5308588820211102,0.583477111765565
3,4,4,2,1,0,75,15,0,0,0.82,2.0,1,1,0,0,41.63902786518567,0.6195418252470735,0.3943914241428287
1,1,3,1,5,1,45,15,0,0,0.82,8.0,1,0,0,1,58.822863289561994,0.7388546923317432,0.2474954137298193
4,4,2,4,4,0,150,20,0,0,0.82,48.0,1,1,1,1,71.34967192262641,0.6088253433481225,0.844948673914049
3,1,5,4,5,1,45,45,0,0,0.86,3.0,1,1,1,0,95.145785268292,0.6875303429069028,0.6653033995087115
4,5,5,5,8,0,120,45,1,0,0.86,1.5,1,1,0,0,67.96153288565975,0.4626927013447187,0.4229191994963095
1,4,5,4,0,0,75,15,0,1,0.86,1.5,1,1,0,0,47.86086349571369,0.6436629794014239,0.3968508337723762
5,1,4,4,2,1,150,15,1,0,0.86,3.0,1,1,0,0,121.25719981184201,0.7161464758112547,0.4407078799011069
5,4,1,4,5,1,150,60,1,0,0.82,8.0,1,1,1,0,65.37785591972796,0.5105375651528888,0.6578476077191165
5,5,2,1,4,0,60,0,0,0,0.72,3.0,1,1,0,1,68.80354586252719,0.6938822642302581,0.5972972720789
1,3,4,4,6,0,45,10,0,0,0.72,12.0,1,1,1,0,53.19508744115016,0.6098389074766597,0.6427746681040672
5,3,1,5,3,1,30,45,0,0,0.72,1.5,1,0,1,0,111.98855606627754,0.7120670828873273,0.3348143415754054
1,5,2,3,7,0,60,0,1,0,0.86,12.0,1,1,0,1,72.59516308601906,0.6234024106219813,0.6047586066471407
5,1,1,4,0,1,30,20,0,1,0.86,2.0,1,0,1,0,69.69845386003759,0.8444129590115286,0.2973567287758847
1,2,1,2,8,1,30,45,1,1,0.82,12.0,1,0,0,0,79.6961263009801,0.5187880500688229,0.08681558736250247
4,2,1,3,4,0,90,20,1,0,0.82,12.0,1,1,1,1,38.88762840776616,0.7998375123653589,0.8099364597396024
1,4,5,5,4,1,150,0,1,0,0.86,96.0,1,1,1,0,22.53016307304101,0.6396989935363508,0.6202411791678162
3,4,1,3,5,0,45,0,0,1,0.86,2.0,1,1,1,0,12.981532422926698,0.7410378163512806,0.6067817078040282
4,4,3,3,2,0,75,30,0,0,0.86,48.0,1,1,0,0,84.44915724779835,0.5431500048477199,0.4282789378258585
2,1,2,2,1,1,75,15,0,1,0.72,96.0,1,0,0,0,50.804837496459015,0.7517951178917025,0.05124423341188684
4,3,1,1,8,0,120,15,0,0,0.82,96.0,0,0,0,0,13.866024155874207,0.7704174031466142,0.025314797883653144
2,2,4,1,4,0,120,10,0,0,0.86,3.0,1,0,0,0,74.27793610125894,0.8434453082495033,0.06047745249004074
4,2,3,4,4,1,60,30,0,0,0.86,3.0,1,1,1,0,50.80016553727847,0.47535968178872606,0.6505915992996416
3,4,4,1,1,1,45,15,0,0,0.72,96.0,1,1,0,0,41.33262039075544,0.48856079726360635,0.4033558244520512
1,1,4,5,5,1,60,15,0,0,0.72,2.0,1,1,0,1,143.90369903009545,0.5823257594093777,0.6551729961947406
4,4,5,1,8,1,60,10,0,0,0.72,8.0,1,1,1,1,50.76374515231785,0.7208717497515299,0.8233814742856048
1,1,4,1,8,0,150,60,0,0,0.86,2.0,0,1,0,1,34.49945718152266,0.6707799861015794,0.5760450390939046
3,1,3,2,4,1,30,10,0,1,0.72,1.5,1,1,0,0,88.05902569083005,0.627632555931796,0.4247717382119944
2,5,1,1,4,1,60,30,1,0,0.72,48.0,1,1,0,0,240.0,0.7067835940652961,0.5205251484154293
1,2,2,4,5,1,30,60,0,0,0.86,12.0,1,1,0,0,71.63399791255048,0.7937578658218829,0.4021929480008352
5,1,1,1,1,0,60,15,0,0,0.82,24.0,1,0,1,1,8.765853055726716,0.7621905553939748,0.45249056315957287
2,4,1,2,1,1,180,60,0,0,0.82,4.0,1,0,0,0,90.69168202772732,0.7154768930606329,0.08037773883757392
1,3,4,1,2,1,180,30,1,0,0.86,8.0,1,1,0,0,21.63154642013059,0.7300451809345533,0.373317868281335
5,1,3,1,8,0,120,15,0,0,0.86,1.5,1,1,0,0,41.23486446829803,0.7394070611201035,0.3857314153671248
2,1,1,3,3,0,90,20,1,0,0.72,2.0,1,1,1,0,65.97455101785995,0.7067819161385982,0.6445082998822048
3,3,1,1,6,1,30,45,1,0,0.86,8.0,1,0,0,0,60.30092596227922,0.7583847520046865,0.05711368466785809
2,1,2,4,1,0,120,60,0,0,0.86,2.0,1,0,0,0,75.37414641704248,0.7016545912544546,0.07113360955688317
2,1,2,1,2,1,45,20,0,0,0.86,2.0,1,0,0,1,58.67217580098356,0.8426947823086115,0.24012614910571956
4,2,4,4,3,0,30,10,0,0,0.82,48.0,1,1,1,0,43.00522893014365,0.64159710362951,0.6337583553660301
4,1,2,4,6,0,60,0,0,1,0.72,4.0,1,0,0,0,45.91984491096451,0.6772360773243122,0.05320670452794115
5,1,4,1,6,0,120,0,1,0,0.86,3.0,1,1,1,0,133.02465114903157,0.6689157093284352,0.6918590011130307
5,3,4,1,3,1,60,30,0,0,0.72,72.0,1,1,0,1,25.906055503104007,0.8524689782356908,0.5575978751922376
2,1,2,5,3,0,30,45,0,0,0.82,24.0,0,0,1,0,82.153603234167,0.5742891986751555,0.3245688249155171
5,5,5,3,4,1,150,0,0,0,0.86,1.5,1,1,0,0,70.69721112697135,0.5006842036005859,0.4220835798326066
5,1,3,3,0,0,150,15,0,0,0.86,3.0,1,0,0,0,11.34707430738403,0.7482981133397947,0.02518384827113706
2,2,2,3,0,0,180,10,1,1,0.86,48.0,1,1,0,1,43.48760154362183,0.6750635821254058,0.5817372836136362
4,2,3,3,7,0,180,30,1,0,0.82,2.0,1,1,1,1,57.162821702686216,0.6371691845490339,0.8335067048833585
5,5,5,4,3,0,75,60,1,1,0.82,4.0,1,1,1,0,36.958745141291985,0.5898008742288585,0.633353102231508
1,4,4,4,0,0,150,45,0,1,0.82,8.0,0,0,1,1,97.64845429286231,0.7645944681288125,0.511577356759558
3,5,1,3,8,0,180,10,1,0,0.72,3.0,1,1,1,0,95.6725136559165,0.6897180788456754,0.6655014102514138
5,3,4,2,2,0,90,30,0,0,0.82,1.5,1,1,0,0,84.45036276438151,0.6060523241195814,0.4238765791545503
5,5,5,2,1,0,180,30,0,0,0.82,8.0,1,1,1,0,59.002815970416805,0.49581291994003984,0.6546283062511419
5,1,3,5,6,1,180,60,1,0,0.82,96.0,1,0,0,0,101.07593193790403,0.8300005961050303,0.07928391289791724
5,3,3,4,6,1,60,0,0,1,0.82,2.0,1,1,0,1,54.17224009604179,0.6876756580516706,0.5879775306670776
5,2,3,1,1,0,150,60,1,1,0.72,96.0,1,0,0,0,54.16703107559652,0.7558553420787735,0.053201480104883535
4,3,5,2,2,0,60,10,1,0,0.72,72.0,1,0,1,1,90.92351045714382,0.6751650180535157,0.5133541223743497
1,3,2,3,5,0,45,10,0,1,0.86,72.0,1,0,0,1,56.35385641832886,0.6298414777160671,0.25348033417209453
5,2,4,3,8,1,90,45,1,0,0.72,4.0,0,1,0,1,134.3672816574302,0.5118709184326476,0.6537472234813348
3,1,1,4,7,1,180,30,1,0,0.72,8.0,0,0,0,1,42.887899987525266,0.6539559792078166,0.24281501478046968
2,3,4,2,8,0,150,60,0,0,0.82,3.0,1,1,0,1,61.95817156649301,0.5120937935033,0.6054588821657644
1,5,1,3,4,0,75,15,0,0,0.86,72.0,1,1,0,1,39.9902640076985,0.7014545085003752,0.5775583604101061
1,1,2,3,0,1,180,20,1,0,0.82,4.0,1,1,1,0,38.830113322669064,0.8172970674595584,0.6186759474929436
5,5,1,2,5,1,90,30,1,0,0.82,4.0,1,1,0,1,87.6949734418699,0.7886126443464058,0.603260430523665
3,3,2,2,0,1,90,30,0,0,0.82,4.0,1,1,0,1,95.23817281691177,0.8670687129078124,0.6027973053077277
2,1,1,3,7,0,75,15,1,0,0.86,72.0,1,0,0,0,40.89531686390028,0.6650396152832002,0.0507107715061095
3,3,2,2,4,1,30,0,0,0,0.72,48.0,1,1,0,0,61.764646183443645,0.7761032057590689,0.39684920638582766
2,4,3,2,5,0,30,60,0,0,0.86,3.0,1,1,0,1,51.346604361701736,0.6813732542525264,0.586534941776791
4,3,4,5,7,1,150,0,0,1,0.86,24.0,1,1,1,0,54.02751651246034,0.5047248868359249,0.6506876022631255
4,3,2,4,4,1,60,30,0,0,0.72,24.0,1,1,0,0,64.00469599983128,0.6040211260604754,0.4103883185089876
1,1,3,2,8,1,180,20,1,0,0.82,4.0,1,1,0,1,63.824431785390466,0.775622660005802,0.5882560349898541
2,1,3,1,4,1,45,30,0,0,0.72,24.0,1,1,0,0,14.071237568046335,0.7568290575824412,0.3664027910145934
1,2,2,3,1,1,30,0,0,0,0.72,1.5,1,1,1,1,64.37560022310213,0.7270125627575452,0.8320261874223732
4,3,4,3,7,1,30,0,1,0,0.72,8.0,0,1,1,0,77.54140093044529,0.6138132258790899,0.6587273414754273
1,4,4,4,4,1,90,60,0,0,0.82,24.0,1,0,0,1,58.079953724120784,0.5426975707971572,0.26073113919361285
3,1,2,1,3,1,150,10,0,1,0.86,48.0,1,0,1,0,43.56097925184592,0.8512248028168016,0.27945491663738786
2,3,3,5,8,1,30,0,1,0,0.86,3.0,1,1,0,0,73.66078204068909,0.4252649436126048,0.42933864197424376
5,1,4,5,2,1,75,60,1,0,0.82,48.0,0,0,1,1,39.422924346167115,0.6195040877589586,0.48291666342098427
5,3,3,2,7,1,150,0,0,1,0.72,3.0,1,1,0,0,111.51723998395025,0.6294494451728346,0.44028336549386843
2,2,3,1,0,1,180,0,0,0,0.72,12.0,1,1,0,0,45.313361431171,0.691317507789781,0.391816682075496
4,2,3,1,1,0,75,15,0,1,0.72,24.0,1,1,1,0,33.54102301829187,0.8872191521986876,0.6102553413582865
3,3,5,3,3,0,60,0,0,0,0.72,1.5,0,1,1,0,38.05017111931436,0.6015169748109583,0.6332605925094426
1,3,3,5,2,0,150,30,0,0,0.82,4.0,1,1,1,0,115.58481170036106,0.7554647110963074,0.6741740113568326
2,5,4,4,4,1,30,15,1,1,0.82,3.0,1,1,1,1,61.036300510567905,0.6097330783541385,0.8380095515222556
1,4,2,4,8,0,45,60,1,0,0.72,2.0,1,1,0,0,84.63431183758404,0.5397432698145986,0.42864084567136745
4,1,4,1,4,1,30,45,0,0,0.72,4.0,1,1,0,1,19.328399387223676,0.665192639962664,0.566322114794096
5,3,4,1,1,0,120,30,0,0,0.82,12.0,1,0,1,1,14.760099480012489,0.8075456848881261,0.4533118683778395
3,5,4,3,6,1,45,10,0,0,0.72,8.0,1,1,0,1,97.79786482393237,0.5696441913813955,0.6253234831525907
4,3,4,1,2,0,180,20,0,0,0.72,4.0,1,1,1,1,103.57756526452079,0.8654650778330729,0.8484691547280321
1,5,3,2,1,1,45,45,1,1,0.72,8.0,1,0,0,0,111.8887061786942,0.6644855252630508,0.09807848401738258
3,2,5,4,8,0,120,60,0,0,0.72,3.0,1,1,1,0,60.02665291622196,0.5881638730543151,0.6488462974970126
5,3,4,5,0,1,120,60,0,1,0.82,2.0,1,1,1,0,43.856067139909314,0.6085406528727998,0.636639532392177
2,5,1,5,1,1,90,0,1,1,0.82,4.0,1,0,0,0,104.86684287004468,0.6674303939007423,0.09319110100697783
3,5,1,5,6,1,75,20,0,0,0.72,24.0,1,1,1,1,82.47150116286375,0.571894215925326,0.8549484056604697
4,3,2,2,4,1,30,10,1,1,0.82,72.0,1,1,1,0,98.6333406160131,0.6162767516968108,0.6726161877918987
5,5,4,2,5,1,180,30,0,0,0.72,1.5,1,1,1,1,104.91858881870894,0.5619251425050524,0.8706109659037856
4,1,5,4,3,1,90,10,1,0,0.72,2.0,0,1,1,1,89.78177368784779,0.6949067017924686,0.8512110466664257
1,1,5,5,6,1,180,30,0,1,0.72,8.0,1,1,1,0,11.808981476897422,0.46998332816644695,0.6249738213462804
1,4,3,4,0,1,30,10,0,0,0.86,8.0,1,1,0,0,27.18860176923082,0.6707668930788668,0.3811720519972999
1,1,2,1,6,0,30,0,0,0,0.82,1.5,1,0,1,0,51.03402636399408,0.7879931547926528,0.28886316340717705
4,1,4,2,8,0,30,0,1,1,0.86,4.0,1,1,1,1,63.82823067813009,0.6924273873108521,0.8340822366736604
5,1,2,3,3,0,60,15,0,0,0.72,1.5,1,1,0,0,133.9093474092208,0.9001833955365294,0.43626006058525685
3,1,5,5,2,1,60,30,1,0,0.86,8.0,1,1,0,0,148.26890592529514,0.7097786597080781,0.4591614311039646
4,5,4,2,1,0,120,60,0,0,0.82,3.0,1,1,0,1,32.27683931594396,0.5577445300936242,0.5824757757707423
3,2,3,4,7,0,45,30,0,0,0.82,72.0,0,1,0,1,120.71281156494719,0.6274059014663063,0.6365567946073234
3,2,5,5,4,0,150,60,1,0,0.72,12.0,1,1,0,1,140.39401454809519,0.5454465362843505,0.6554147521588256
5,3,2,4,7,0,180,10,0,0,0.82,1.5,1,1,1,1,78.91975698576928,0.5064140682169392,0.8571641865486606
5,2,1,3,3,0,180,15,0,0,0.86,24.0,1,1,0,1,203.40620373972382,0.6279430148278492,0.6916481247885331
5,5,2,2,7,0,45,10,0,0,0.82,8.0,1,1,0,1,54.71479429896536,0.6573781066785103,0.5904600620651479
5,4,2,2,5,1,90,60,0,0,0.86,1.5,0,1,0,0,38.52792392242062,0.5452943777380737,0.39751467617328196
4,5,1,1,5,1,30,20,0,0,0.82,4.0,1,0,0,0,93.98314542918571,0.6553906693141718,0.08677808343413179
3,1,3,1,5,1,120,20,1,0,0.82,12.0,1,1,0,1,29.68484988248821,0.7322091290921553,0.568535260885208
2,2,4,4,7,0,180,60,0,0,0.86,24.0,0,0,0,0,59.12940721254645,0.7432856894538785,0.0573896065465928
4,5,5,3,8,0,75,0,0,0,0.82,3.0,1,1,1,1,95.52558707848122,0.497583806635441,0.8688528582545066
4,4,4,3,1,0,75,20,0,0,0.86,4.0,0,1,0,1,153.33962875028124,0.6579043309999175,0.65617311599686
3,5,2,2,1,1,90,60,0,0,0.86,1.5,1,1,0,0,77.59442114359763,0.45447598964282665,0.4299162948207339
5,1,2,5,8,0,45,0,0,0,0.86,72.0,1,1,0,1,25.401368787722426,0.8010280908954786,0.5608622794957981
4,1,3,1,8,1,90,45,0,0,0.86,24.0,0,0,0,1,139.17047309949842,0.8052900641194425,0.29641001091130464
4,1,4,3,5,1,150,15,0,0,0.82,1.5,1,0,1,0,23.349493328871404,0.7517822823171227,0.27294156912371564
2,3,3,5,2,0,150,10,0,0,0.86,72.0,1,1,0,0,99.68749774735383,0.8437255994221485,0.4173975398720189
2,4,5,5,0,1,120,45,1,0,0.72,72.0,1,1,0,0,158.3927501548935,0.6272673102977063,0.4716864550490896
4,4,5,3,0,1,30,60,0,1,0.82,96.0,1,1,1,0,52.309382076541276,0.7087216198844513,0.6352624079924493
3,1,4,1,2,1,90,20,0,1,0.72,72.0,1,0,0,0,49.42375385025649,0.6576611131798551,0.05691289131091447
5,2,4,1,5,1,75,30,0,0,0.82,96.0,1,1,0,0,108.49551776442112,0.7178350139693347,0.43208189419842735
5,2,1,5,3,1,180,15,1,0,0.72,1.5,1,1,1,0,114.04088689500065,0.7665419875335244,0.6723693188026538
4,5,2,2,4,1,90,0,1,0,0.86,48.0,1,0,0,1,34.12145946153126,0.678524812119117,0.23525090279268265
4,5,3,2,7,0,90,10,1,0,0.72,3.0,1,1,0,0,62.41098169370301,0.621528195601599,0.40810034743702345
5,5,5,5,4,1,90,45,1,0,0.86,12.0,1,1,0,1,86.10656818954433,0.6822564854555054,0.6096464248111442
3,1,1,1,2,0,150,60,0,1,0.82,3.0,1,0,1,0,30.841927264501884,0.9178741440719085,0.26631009475796763
2,2,5,5,8,1,180,10,0,1,0.72,48.0,1,1,0,0,47.6240566911164,0.5613411820419562,0.40245548838447404
3,3,5,1,1,0,30,0,0,1,0.86,96.0,0,1,0,1,59.266867149793185,0.9193213251567728,0.5751587520055547
4,2,5,2,8,1,90,10,0,0,0.86,3.0,1,1,1,1,204.01710566598774,0.6344762663227167,0.9315980651347351
4,1,2,4,2,1,60,60,1,1,0.86,72.0,1,1,0,1,96.36009836457418,0.9633121315405483,0.5968082163685445
2,4,4,1,1,0,150,60,0,0,0.82,8.0,1,1,0,1,93.67234374472065,0.6326662559765142,0.6181615912447911
2,5,3,2,5,0,30,60,0,1,0.82,96.0,1,1,0,0,69.38890109769542,0.6251376264803249,0.41249963354484087
1,2,1,3,2,0,60,20,0,1,0.86,3.0,1,0,1,0,50.062709885047774,0.9105982875255315,0.27963325979657794
3,2,2,3,6,0,90,15,0,0,0.72,1.5,1,0,1,0,69.37488548226759,0.7334679228579545,0.3049071690547882
4,5,1,5,8,1,45,30,0,0,0.86,8.0,0,1,1,1,69.75616670354847,0.5133002890795163,0.8505730909001329
4,3,2,4,3,0,180,15,0,0,0.86,1.5,1,1,1,1,114.8270409975845,0.6090880053317691,0.8739152002918325
4,2,3,3,8,1,30,10,0,0,0.82,24.0,1,1,1,1,134.60358440762917,0.5595382884272891,0.8905680427485092
5,4,1,5,1,0,30,30,0,1,0.86,48.0,1,1,1,0,104.7866412572987,0.6650903752902482,0.6733014345678818
1,4,1,3,8,1,30,10,0,0,0.86,12.0,1,1,0,0,62.252065242487895,0.5666640631559409,0.41183489240740945
5,3,4,4,2,1,90,0,0,0,0.86,48.0,1,1,1,0,128.1394232140289,0.7576099649642066,0.6823935845951916
5,4,2,5,8,1,75,20,0,0,0.72,2.0,1,1,1,1,215.8504802646279,0.4956519654552393,0.9492046825945519
3,3,5,4,6,0,75,45,0,0,0.82,1.5,1,1,0,1,35.43287368515613,0.5914072359013429,0.5822234092770101
3,2,4,4,0,0,120,60,0,0,0.72,24.0,1,1,0,1,61.30482100857087,0.5895552684639418,0.5996010118799048
2,4,3,5,0,1,30,60,1,1,0.82,72.0,1,1,0,0,56.526868959549454,0.6851884410096426,0.3997213884356914
2,1,4,1,4,0,75,15,1,0,0.72,3.0,1,0,0,1,78.1032614515281,0.6845264101364599,0.2641519922581332
2,1,2,4,8,0,180,30,0,0,0.86,4.0,1,0,1,1,19.64939634450957,0.7298404396824663,0.46201076678523373
1,4,1,4,1,0,60,45,0,0,0.86,48.0,1,1,0,1,172.7560976328798,0.6500359852064336,0.6696682127908028
4,5,3,3,7,0,75,60,0,0,0.86,24.0,1,1,1,1,174.18996254004443,0.5906623797330278,0.9147802751120511
4,1,5,4,6,0,150,20,1,0,0.82,48.0,1,1,0,0,56.706401074113316,0.6993266275624899,0.39885140345336795
1,3,1,3,6,0,180,60,0,0,0.72,2.0,0,0,0,1,80.81928893645203,0.6323025279268455,0.2696183490027555
5,3,4,5,1,0,150,45,0,0,0.86,1.5,1,1,1,1,74.2918547591658,0.7573278328826585,0.8365149548709911
4,2,1,2,3,1,30,15,1,1,0.82,2.0,1,1,0,0,29.032356724140193,0.8205586139853034,0.3719158015037889
3,1,5,4,1,0,90,15,0,1,0.72,3.0,1,0,0,1,88.4518206464416,0.8002930778042041,0.2629473649846668
2,1,4,4,6,0,75,10,0,1,0.72,96.0,1,1,0,0,32.10825182636502,0.7901930412346476,0.3760919883311514
3,2,5,2,3,0,45,20,1,1,0.86,48.0,1,1,1,0,54.12250192821651,0.7141298514168491,0.636092578352965
5,4,4,4,5,0,60,15,0,1,0.86,3.0,1,1,1,0,91.23710353377054,0.5119313744245109,0.6749895394794646
5,1,5,5,4,0,150,20,0,0,0.72,2.0,0,1,0,1,34.60168233831838,0.7644526631288873,0.5695561018065235
5,1,1,1,8,0,120,0,1,0,0.82,96.0,1,0,1,0,39.93127057422742,0.8031803554429494,0.2803982221684785
5,3,1,4,6,0,60,15,0,1,0.72,8.0,1,1,0,0,80.93334564205097,0.5904082892174647,0.4226269835161448
5,1,5,2,5,1,60,60,0,0,0.72,24.0,0,1,0,0,36.444223359103226,0.6156237975492898,0.39120248307761857
4,1,4,2,8,0,45,10,0,0,0.72,8.0,1,1,1,0,118.53109723552038,0.7044062497498567,0.679712294007857
1,1,1,3,0,1,45,20,0,0,0.86,96.0,1,0,0,0,20.008842985091317,0.9028983440945342,0.020136344570110154
4,1,2,5,6,1,60,0,0,0,0.82,96.0,1,1,0,0,58.30052111828805,0.7963215351814165,0.39312450661615955
2,4,3,1,8,0,180,45,1,0,0.86,96.0,1,1,1,0,26.803117193794797,0.6007934686037064,0.6258132019936038
4,2,5,4,2,1,90,15,0,0,0.86,96.0,1,1,0,0,64.38067604651775,0.5555008143033843,0.41403539369644166
5,1,4,4,6,1,150,45,0,0,0.86,4.0,1,1,0,0,25.93119484128209,0.563638319549779,0.3878327808590369
2,2,2,5,7,1,120,45,0,1,0.86,48.0,1,1,1,0,30.564499949565494,0.8051941416710029,0.6140127433827403
3,4,5,4,7,0,180,10,0,1,0.82,8.0,1,1,0,1,39.39686113677264,0.4965149072301635,0.5915085305850704
2,4,1,3,4,0,30,15,1,0,0.72,2.0,1,1,1,1,104.01746708782879,0.563856512852044,0.8698750221589095
5,3,2,4,1,1,150,60,0,0,0.86,72.0,1,1,0,0,24.55621414635727,0.7463886710473372,0.3741236024575913
2,2,5,1,6,1,180,15,0,0,0.86,3.0,1,0,0,0,35.769862378291634,0.545204469808668,0.055682262032254334
2,1,2,3,7,1,150,60,0,0,0.86,4.0,1,1,1,0,39.20769258967265,0.6123527891714965,0.6332737664844437
4,5,1,4,6,0,180,10,1,1,0.86,24.0,1,1,0,0,58.9215733491958,0.6330829656822689,0.4049652413017051
4,3,5,5,3,1,180,15,0,1,0.86,2.0,1,0,0,1,39.264426824105826,0.5472912164774161,0.24786589939598475
1,3,3,1,6,0,120,30,1,0,0.82,12.0,1,1,0,0,63.710566217383686,0.5695410389084992,0.4126058380879942
5,4,2,3,6,0,180,20,0,0,0.86,8.0,1,1,1,0,33.54870659118899,0.5524549057602992,0.633693960990905
2,5,1,3,7,1,120,45,0,0,0.86,96.0,1,1,1,0,49.793730733888616,0.6074524060953909,0.6406741520625818
2,3,3,2,6,1,120,45,0,0,0.82,72.0,1,1,0,1,50.79563352643525,0.7102571622409567,0.5841457543274232
1,2,3,3,0,0,150,45,0,1,0.72,48.0,1,0,0,0,25.566303794415134,0.7290742067881908,0.036009008054436735
5,3,1,1,7,1,75,20,0,0,0.72,3.0,1,1,0,0,59.072862366929826,0.8196103892219513,0.39200918099908333
1,2,5,4,8,1,150,0,0,0,0.72,8.0,1,0,0,1,178.74572200407542,0.5599073614177557,0.33997029937014067
1,5,3,5,8,1,150,10,1,1,0.72,96.0,1,1,1,1,48.12433913514322,0.7316609202638541,0.8208666283382924
1,5,5,1,5,1,75,20,1,0,0.82,48.0,1,1,0,1,104.4078502208375,0.489094798244653,0.6353685976034327
3,2,3,2,2,1,180,0,0,0,0.72,2.0,1,0,1,1,32.2741660723635,0.7782880809487139,0.467035945048499
5,3,3,3,0,1,45,15,0,0,0.86,4.0,1,1,0,0,91.44605465102627,0.7204753416188647,0.42053076252069704
2,4,4,4,5,0,180,45,0,0,0.86,12.0,0,1,0,1,63.15787488368336,0.44983697395872846,0.6106166617453446
3,5,4,4,3,0,45,10,0,0,0.86,2.0,1,1,0,0,147.33589516549782,0.5002142832103196,0.4732089302856095
2,1,2,5,5,1,90,45,0,0,0.86,72.0,1,1,1,1,23.01409323308511,0.752849751460324,0.8026432462198341
1,3,3,5,1,1,75,45,0,0,0.72,24.0,1,1,0,0,58.58764842005593,0.6081865945773122,0.4064853706596255
5,2,1,4,4,0,45,45,1,0,0.86,8.0,1,1,1,0,60.354504104629356,0.7854190204376358,0.6352570046391184
1,5,1,5,5,1,120,15,0,0,0.72,24.0,0,1,1,1,102.5332881359746,0.7233802591277146,0.8577189072850431
4,1,2,2,2,0,90,30,1,0,0.82,12.0,1,0,0,0,65.8649266239855,0.9305625253161708,0.04877057431052504
2,4,4,2,2,1,60,20,0,0,0.72,2.0,1,0,0,0,29.25266119657153,0.7337209074935515,0.038141310606499085
3,2,2,2,0,1,60,20,0,0,0.86,8.0,1,0,0,1,65.92763064591878,0.8176565956642813,0.24671579206744618
5,3,4,1,4,0,60,45,0,0,0.86,2.0,1,1,1,1,28.601961160675188,0.6675486659104217,0.8123395674933873
3,3,2,1,1,1,60,0,0,0,0.72,4.0,1,0,0,0,101.25159284731546,0.7448328074767632,0.08536276537483689
1,3,5,5,1,0,60,60,0,0,0.82,48.0,0,1,0,0,81.6045157217356,0.6568433360655351,0.41842397695656963
5,3,4,3,6,0,30,60,0,1,0.82,12.0,0,1,0,0,99.25441940812196,0.7682279698510501,0.4223936550491745
4,5,3,3,1,1,60,30,0,0,0.82,4.0,1,0,1,1,77.79277805270355,0.6787016362491728,0.5043527374976936
2,4,3,4,3,1,150,60,0,0,0.72,24.0,1,0,0,1,94.13451244106824,0.7456439629842018,0.2705612642184847
3,5,3,4,1,1,180,20,1,0,0.82,3.0,1,1,0,1,102.10049259719447,0.7615096369232759,0.614761320480167
3,5,5,3,7,1,120,45,1,0,0.82,8.0,1,1,1,1,71.69861740331139,0.7495122812044851,0.8353332185845603
2,3,4,3,2,1,150,45,0,0,0.86,4.0,1,1,0,1,39.26993002493127,0.7057818543581393,0.5767752235448844
2,3,2,2,1,0,90,0,1,0,0.82,72.0,1,1,1,0,45.34114650373701,0.8230838313649019,0.6226115628069483
1,4,4,2,0,1,120,20,0,0,0.82,4.0,1,1,0,0,218.20586296367014,0.6037206556407072,0.5132101294142639
4,5,3,3,6,0,30,0,0,1,0.82,8.0,1,1,1,1,30.95041048286609,0.6523759078108431,0.8149672934418184
3,5,1,2,2,0,75,0,0,1,0.72,48.0,1,1,0,1,109.37280061337516,0.6121137859583548,0.630067235391832
4,5,4,3,3,1,120,45,0,0,0.72,8.0,0,1,0,0,39.674203894693484,0.565475626119427,0.3968661754347691
2,1,4,3,3,1,75,60,0,0,0.86,3.0,1,0,0,1,38.02825475744048,0.9053421329321415,0.22197822053304375
4,5,2,5,1,0,180,45,1,0,0.86,2.0,1,1,1,1,86.90507441257664,0.6098425548261788,0.8552477374372185
3,5,2,3,0,0,60,30,1,1,0.82,72.0,0,1,0,1,143.4840512233366,0.6933359452492439,0.6471225179814439
5,4,4,1,8,1,90,15,0,0,0.82,2.0,1,1,1,1,113.40142626412617,0.530416460819962,0.8784717985853534
1,1,1,3,6,1,45,20,1,0,0.86,1.5,1,0,1,0,98.12890660796518,0.7528173174259997,0.32272205885215677
2,4,5,3,5,1,180,30,0,0,0.72,1.5,1,1,0,1,209.2460244441158,0.6910908477806998,0.6911209902847616
3,2,4,2,2,1,90,45,0,1,0.86,48.0,1,1,1,0,31.044259510074966,0.5974186491238375,0.6288768675680482
4,5,3,2,4,1,180,60,0,1,0.86,8.0,1,1,1,0,67.58115619871765,0.5816351668931267,0.6543396424499597
